DATETIME,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG
SYN/0000,5.291415,2.584006,4.425135,3.988113,2.409793,3.109346,3.725568,95.440868,1,0.000000,0,38.111168,1,35.264123,1,0.000000,0,0.000000,0,0.000000,0,35.475003,1,0.000000,0,0.000000,0,0.000000,0,80.445413,1,3.272925,33.866762,26.353641,87.471502,26.394360,84.359693,19.009633,82.123820,18.929246,67.742494,29.278075,28.346327,0
SYN/0001,5.085278,3.453447,4.642219,3.854856,2.709614,3.382065,3.933646,94.486414,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,32.036741,1,0.000000,0,0.000000,0,82.893865,1,3.035285,33.404099,26.258888,87.408337,26.417457,84.648482,18.640251,82.290484,18.295139,66.999534,29.448826,28.675867,0
SYN/0002,5.663368,3.717339,4.295382,3.857530,3.121595,3.692609,3.644863,0.000000,0,0.000000,0,0.000000,0,33.290989,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,77.412481,1,3.146092,33.359179,26.403748,87.744224,26.633959,84.399616,18.870454,81.873011,18.776085,66.593800,28.965866,28.103190,0
SYN/0003,5.254379,3.725595,4.211199,3.936500,3.271978,3.746674,4.130346,95.149934,1,0.000000,0,0.000000,0,28.090718,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,81.065556,1,3.956283,33.428193,26.092951,87.653783,26.565999,84.607756,19.150533,82.107061,19.238991,66.743371,29.208075,28.222027,0
SYN/0004,5.516070,3.142146,4.736955,4.015363,2.765646,3.628339,4.109113,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,80.524095,1,2.689304,32.997595,26.254108,87.583865,27.030379,84.239082,19.194822,81.850211,18.444517,66.810465,29.182432,29.138541,0
SYN/0005,5.436547,4.108136,4.315492,4.276092,3.166768,3.935972,4.078218,96.635050,1,0.000000,0,29.888250,1,35.690352,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,3.611802,33.960727,26.454970,87.232659,26.089552,84.695278,19.417100,81.946144,18.685044,67.538433,29.067886,28.231582,0
SYN/0006,5.892998,3.642158,4.598463,4.067311,3.167515,4.422245,4.118117,0.000000,0,0.000000,0,30.124748,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,82.614346,1,3.401219,33.453648,26.191217,87.532842,26.572749,84.252972,18.574684,82.027147,18.868468,67.855242,29.963053,28.244027,0
SYN/0007,5.596748,3.187364,4.409158,4.152899,3.330948,3.764238,3.955541,0.000000,0,0.000000,0,0.000000,0,34.622950,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,77.485300,1,2.889525,33.602467,26.918609,87.303943,26.426417,84.433201,19.030430,81.887153,18.759853,66.687531,29.328548,28.420084,0
SYN/0008,5.702664,3.470689,4.687872,4.262351,3.090893,4.038540,4.057041,0.000000,0,0.000000,0,43.372673,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,30.788248,1,0.000000,0,0.000000,0,83.782315,1,3.136326,33.166871,26.258543,87.679115,26.515740,84.112349,18.868954,81.924407,18.845769,67.541448,28.630002,28.428945,0
SYN/0009,5.606507,3.684083,4.371268,3.660788,3.077731,4.371758,3.676070,0.000000,0,0.000000,0,0.000000,0,40.200178,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,80.110287,1,3.019964,33.290773,26.696875,87.246509,26.734705,84.142805,19.251374,82.225261,19.346194,67.319232,28.928388,28.479914,0
SYN/0010,5.098398,3.192688,4.853369,4.077507,2.810214,3.445885,3.906556,98.936028,1,0.000000,0,37.435046,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,76.255217,1,3.937465,33.610507,26.653975,87.428717,26.744129,84.520541,18.969863,82.070320,18.881103,66.840996,29.355741,28.454243,0
SYN/0011,5.444428,3.606985,3.985967,3.852644,3.173937,3.406333,3.639078,98.034278,1,0.000000,0,38.427176,1,38.367280,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,84.928652,1,3.009494,33.124506,25.919617,87.361759,26.631891,84.357256,18.982882,81.576170,18.106969,67.116306,29.258467,28.637816,0
SYN/0012,5.410586,3.055297,4.428040,3.845842,2.906013,3.288598,3.664078,96.818776,1,0.000000,0,33.936645,1,34.529831,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,80.145348,1,3.543431,33.826765,26.798306,87.579259,26.906076,84.227638,18.648781,81.821680,18.355839,66.833560,29.292595,28.741076,0
SYN/0013,5.586821,2.240072,4.214321,3.514245,2.817294,3.331264,3.230291,0.000000,0,0.000000,0,0.000000,0,36.711562,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,25.569427,1,0.000000,0,80.005535,1,3.334378,33.615013,26.360659,87.704633,27.085304,84.823094,18.920814,82.048057,19.122872,66.846302,29.499921,28.492241,0
SYN/0014,5.044172,2.266652,3.523130,3.235403,2.426523,3.112397,3.441362,95.113727,1,0.000000,0,0.000000,0,33.862545,1,0.000000,0,0.000000,0,48.303708,1,38.255406,1,0.000000,0,30.019017,1,0.000000,0,81.669239,1,3.905533,33.527456,26.574233,87.582965,26.448878,83.966155,19.029090,81.744539,18.999676,67.425586,29.509959,28.414125,0
SYN/0015,4.982636,2.310845,4.197821,3.221587,2.520746,2.549203,3.118145,95.841559,1,0.000000,0,0.000000,0,32.826018,1,0.000000,0,0.000000,0,47.202139,1,0.000000,0,0.000000,0,29.108030,1,0.000000,0,80.741698,1,3.716450,33.603394,26.600498,87.393488,26.769345,84.688681,18.608955,81.733691,19.200735,67.042597,29.821146,28.367239,0
SYN/0016,5.203501,2.359774,3.931058,3.853136,2.467838,2.784651,3.263877,99.912413,1,0.000000,0,0.000000,0,25.422959,1,0.000000,0,0.000000,0,0.000000,0,34.990664,1,0.000000,0,29.239867,1,0.000000,0,81.610165,1,3.197001,33.712055,26.598800,87.715511,26.666960,84.288925,19.510522,81.973872,18.707875,66.873942,29.090321,28.126658,0
SYN/0017,4.450398,2.198987,3.913918,3.520451,2.357115,3.287092,3.461512,99.645284,1,0.000000,0,0.000000,0,34.728079,1,0.000000,0,0.000000,0,0.000000,0,28.180710,1,34.008558,1,33.743850,1,0.000000,0,82.090363,1,2.775250,33.153096,26.311866,87.278360,26.714319,84.799189,18.547016,81.748761,18.870635,67.583335,29.033288,28.574711,0
SYN/0018,5.246390,1.539296,3.415679,3.415279,2.395882,3.243780,3.348332,96.267383,1,0.000000,0,32.489650,1,32.453539,1,0.000000,0,0.000000,0,52.240497,1,27.257611,1,0.000000,0,26.897076,1,0.000000,0,76.728797,1,3.615234,33.258020,26.015210,87.814146,26.572493,84.015807,19.335354,81.867804,18.809632,67.180674,29.214100,28.641341,0
SYN/0019,4.557001,2.062604,4.222422,3.302105,2.027666,3.500318,3.823495,97.068548,1,0.000000,0,0.000000,0,30.546448,1,0.000000,0,0.000000,0,42.527972,1,36.796787,1,0.000000,0,0.000000,0,0.000000,0,80.573990,1,3.669920,32.980799,26.449317,87.482861,27.054348,84.147748,19.400366,81.668878,18.976178,67.195820,29.139286,28.553219,0
SYN/0020,5.130743,2.177663,3.346001,3.536680,2.359708,2.964285,3.337272,99.446201,1,0.000000,0,0.000000,0,38.139376,1,0.000000,0,0.000000,0,0.000000,0,37.343232,1,0.000000,0,37.147807,1,0.000000,0,82.163109,1,3.447153,33.745033,26.587526,87.975518,26.343603,84.069378,18.756269,82.237241,19.249512,66.962348,29.272568,28.594223,0
SYN/0021,4.772718,2.815136,3.241624,3.422527,2.431385,2.450340,3.224430,101.338898,1,0.000000,0,0.000000,0,34.772182,1,0.000000,0,0.000000,0,45.447126,1,36.234196,1,0.000000,0,31.942454,1,0.000000,0,83.104991,1,3.196171,33.496375,26.336793,87.235233,26.030957,84.405725,18.794714,81.693316,18.771146,67.438406,28.715779,28.051008,0
SYN/0022,4.673134,3.184472,4.084776,3.803463,2.421968,2.914139,3.589563,97.436987,1,0.000000,0,0.000000,0,38.111070,1,0.000000,0,0.000000,0,0.000000,0,38.006982,1,0.000000,0,0.000000,0,0.000000,0,81.297104,1,3.766436,34.039278,26.554889,87.488485,26.232061,84.203435,18.810221,81.695480,19.414627,67.635551,29.740815,28.223745,0
SYN/0023,5.327096,3.048795,4.229236,3.972287,2.849429,3.592595,3.723854,98.250863,1,0.000000,0,0.000000,0,41.727266,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,82.190974,1,3.509370,33.109204,26.384641,87.576081,27.039268,84.468264,18.903434,82.074636,18.813264,67.039126,29.075272,28.454684,0
SYN/0024,4.976171,2.499874,4.353367,3.878253,2.442658,3.463195,3.899140,98.116740,1,0.000000,0,0.000000,0,36.378420,1,0.000000,0,0.000000,0,0.000000,0,33.471085,1,26.267382,1,0.000000,0,0.000000,0,80.393750,1,3.317215,33.575865,26.248813,87.411580,26.593436,84.079402,18.973231,82.081961,18.458171,66.955628,29.831333,28.151376,0
SYN/0025,4.694413,2.462317,4.312261,3.883829,2.854124,3.993666,3.268961,94.616658,1,0.000000,0,31.988432,1,31.422616,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,30.106729,1,0.000000,0,80.720104,1,3.512401,33.609642,27.353656,87.855386,26.287821,84.490699,18.791450,81.853075,19.072580,67.109326,29.483573,28.504196,0
SYN/0026,5.550975,3.569986,3.818910,4.083315,2.753596,3.317310,3.888318,0.000000,0,0.000000,0,33.372225,1,32.660503,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,80.963042,1,2.933710,33.468974,26.391605,87.667668,26.784295,83.866669,18.548409,81.672003,18.886675,67.473484,29.270598,27.749490,0
SYN/0027,5.042356,3.232471,4.315524,3.930454,3.019848,3.760029,4.192711,99.436627,1,0.000000,0,36.558767,1,35.410213,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,29.323706,1,0.000000,0,0.000000,0,77.771264,1,3.271656,33.619110,26.566675,87.413350,26.796222,84.547252,19.330891,82.158824,19.209029,66.535760,29.304628,28.239898,0
SYN/0028,5.668780,3.464241,4.496563,4.436243,3.025864,4.057150,3.999956,0.000000,0,0.000000,0,0.000000,0,36.238480,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,82.472300,1,3.360092,33.586808,26.293291,87.700752,25.620822,84.314866,17.805476,81.482961,18.935531,67.243259,29.051271,28.286369,0
SYN/0029,6.094125,3.579129,5.259246,4.089394,3.171385,4.468025,4.112576,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,77.875237,1,3.331404,33.376299,25.974947,87.733144,26.639011,83.740785,18.968845,82.220675,18.912316,67.289594,28.978719,28.599312,0
SYN/0030,5.609214,3.606884,4.861167,4.395855,3.458874,4.394442,4.078053,0.000000,0,0.000000,0,38.295013,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,31.020630,1,0.000000,0,0.000000,0,83.268744,1,3.113653,33.129556,26.832691,87.449777,26.003471,83.886487,18.593686,82.015652,18.717845,66.998950,29.585911,28.601963,0
SYN/0031,5.777777,3.936672,4.771211,3.668187,3.016890,3.328900,4.093582,0.000000,0,0.000000,0,32.998556,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,83.921682,1,3.209570,33.530578,26.171303,87.342238,26.338701,84.362778,18.613312,82.131254,18.427473,67.038779,29.432894,29.233539,0
SYN/0032,5.219818,4.281626,4.591363,4.142042,3.083477,4.066431,4.015673,101.396704,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,26.656149,1,0.000000,0,0.000000,0,0.000000,0,3.575019,33.895704,27.242763,87.424024,26.930590,84.273126,18.854626,82.129778,18.818575,67.133119,29.277500,28.080567,0
SYN/0033,5.090466,3.826983,4.399833,3.892914,3.013833,4.092033,4.018916,97.798765,1,0.000000,0,36.978227,1,38.894654,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,31.558982,1,0.000000,0,0.000000,0,76.932558,1,3.250614,33.891070,26.652066,88.046219,26.418498,83.854325,18.827869,82.030609,18.823697,67.440104,29.291619,28.605610,0
SYN/0034,5.153412,3.580127,4.400933,3.800037,2.902834,3.694747,3.845969,97.268312,1,0.000000,0,31.423171,1,33.947706,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,81.011389,1,4.001980,32.804117,25.799536,87.437049,26.504358,84.407031,19.041926,81.884726,19.105713,67.409059,29.455217,28.788797,0
SYN/0035,5.411203,2.982462,4.512873,3.899768,2.877914,4.071296,3.313353,96.910218,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,26.552388,1,0.000000,0,80.649359,1,3.185195,33.474545,25.919938,87.371408,26.544588,84.309863,19.025242,81.603853,19.056406,66.859936,29.589857,28.496808,0
SYN/0036,4.787084,2.873521,4.309609,3.922593,2.771802,3.959534,3.901502,103.801380,1,0.000000,0,30.088000,1,31.293868,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,78.977363,1,3.305306,33.236147,27.084490,87.689253,26.766028,84.053277,18.844213,81.785934,18.004487,66.686597,28.856814,27.825065,0
SYN/0037,4.711983,3.322927,4.083142,3.980467,2.804551,3.605358,3.416293,96.270058,1,0.000000,0,0.000000,0,32.801790,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,30.079756,1,0.000000,0,82.854572,1,3.946914,33.883094,26.099613,88.105076,26.340707,84.513462,18.920396,81.876355,18.257691,67.048531,28.932185,28.790190,0
SYN/0038,5.405038,2.281236,4.090591,3.504922,2.524303,3.482348,3.492292,100.998009,1,0.000000,0,0.000000,0,33.211369,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,31.780664,1,0.000000,0,85.348034,1,3.392507,33.611916,26.212920,87.607007,26.320075,84.686021,19.009109,81.934591,19.158086,66.448815,28.795769,28.738752,0
SYN/0039,4.864587,2.534493,3.519238,3.583221,2.988570,3.393706,3.451099,91.612406,1,0.000000,0,0.000000,0,28.697523,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,23.746794,1,31.842811,1,0.000000,0,80.246692,1,2.713849,33.201074,26.769871,86.766602,26.395743,83.846000,19.141371,81.797466,18.921186,67.269638,29.950868,28.439117,0
SYN/0040,4.879801,1.713157,4.210714,3.388091,2.428042,3.060313,3.041013,98.878801,1,0.000000,0,0.000000,0,37.968116,1,0.000000,0,0.000000,0,54.382718,1,35.080382,1,0.000000,0,35.578484,1,0.000000,0,82.973664,1,4.307618,33.435859,26.160635,87.728339,26.631697,84.041985,18.590281,82.692953,18.898053,66.880314,29.674779,28.467256,0
SYN/0041,4.641173,2.452168,3.426065,3.580748,2.892813,3.156890,3.238387,97.238112,1,0.000000,0,38.665246,1,28.067164,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,33.736905,1,0.000000,0,76.455736,1,3.734927,33.621457,25.918419,87.592711,26.609360,84.366823,18.953178,82.087369,19.242083,67.467810,28.539884,28.404768,0
SYN/0042,4.650605,1.499161,3.828255,3.749752,2.282686,3.100920,3.116835,96.372327,1,0.000000,0,27.515128,1,42.449270,1,0.000000,0,0.000000,0,0.000000,0,28.360722,1,0.000000,0,29.028046,1,0.000000,0,79.525033,1,3.307666,33.708401,26.476772,87.795524,26.497362,84.353960,18.774345,82.668920,18.329621,67.478281,29.810372,28.244352,0
SYN/0043,5.385819,2.625455,4.104971,3.515827,2.466777,2.954214,3.391736,95.265669,1,0.000000,0,0.000000,0,37.618638,1,0.000000,0,0.000000,0,0.000000,0,30.527226,1,0.000000,0,30.710846,1,0.000000,0,79.680037,1,2.589643,33.125805,26.736252,87.400612,26.608178,83.782794,19.331612,81.956792,18.887012,67.797734,29.854932,28.408030,0
SYN/0044,4.589021,2.176962,4.006559,3.519148,2.461144,3.507142,3.330748,103.355955,1,0.000000,0,38.851842,1,32.101556,1,0.000000,0,0.000000,0,0.000000,0,34.161026,1,0.000000,0,25.919225,1,0.000000,0,75.697134,1,3.549625,33.837513,26.395975,86.921876,26.442772,84.151160,19.528800,81.562859,18.682797,67.611756,29.534994,28.668994,0
SYN/0045,4.880822,2.566292,4.150440,3.425971,2.763480,2.734546,3.482831,97.931944,1,0.000000,0,0.000000,0,33.585541,1,0.000000,0,0.000000,0,44.249573,1,0.000000,0,0.000000,0,28.301115,1,0.000000,0,84.975440,1,3.588747,33.436480,26.549616,86.967842,26.487060,84.799254,18.939704,82.020374,18.964439,67.368682,28.800760,27.995302,0
SYN/0046,5.013087,2.314049,4.393608,3.586965,2.263094,2.869596,2.950065,96.726612,1,0.000000,0,39.794079,1,34.318446,1,0.000000,0,0.000000,0,0.000000,0,35.237566,1,32.944439,1,26.505516,1,0.000000,0,78.121717,1,3.708400,32.993796,26.120921,88.054911,26.421730,84.451977,18.971087,81.968513,19.209155,67.029002,28.865779,28.259028,0
SYN/0047,5.235948,2.951148,3.626355,3.577486,2.606010,3.260950,3.321290,100.314600,1,0.000000,0,34.416758,1,33.431841,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,26.509579,1,0.000000,0,83.189147,1,3.025444,33.507539,26.334019,87.702453,26.496118,83.763920,18.521283,82.008827,19.108634,66.435744,29.503718,28.856887,0
SYN/0048,5.154092,3.220081,3.989079,3.776127,2.475817,2.796697,3.888553,93.840673,1,0.000000,0,0.000000,0,32.081691,1,0.000000,0,0.000000,0,0.000000,0,34.954403,1,0.000000,0,0.000000,0,0.000000,0,84.398069,1,3.848565,33.073471,26.306293,88.007436,26.652424,84.258579,18.834695,81.884860,18.886466,67.024288,29.387226,28.523580,0
SYN/0049,5.125988,3.419907,5.177801,3.522248,2.942448,3.401352,3.919008,101.526520,1,0.000000,0,39.528209,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,27.507690,1,0.000000,0,0.000000,0,81.849206,1,3.832987,32.970434,26.692146,87.602485,26.438865,83.758665,19.050915,81.275768,18.994518,66.652368,29.416037,28.464249,0
SYN/0050,5.800861,3.328538,4.191758,3.848679,3.204577,3.910889,3.822874,0.000000,0,0.000000,0,38.007186,1,35.514486,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,81.005998,1,3.084587,33.290396,26.373204,87.120584,26.540537,84.335006,18.831774,81.515485,19.096560,67.209358,29.182195,28.415820,0
SYN/0051,5.103353,3.155521,4.321499,4.257816,2.884231,4.045617,3.875179,100.619170,1,0.000000,0,0.000000,0,29.472204,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,77.616141,1,3.355075,33.542426,25.702389,87.671048,27.070872,84.063969,18.977942,82.307477,18.750814,66.925712,28.717279,28.692297,0
SYN/0052,5.599062,3.287747,4.584389,3.943072,2.954122,4.114900,3.778734,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,76.674064,1,2.845047,33.774387,25.989500,87.543133,26.254074,84.233405,18.783410,82.443218,18.951975,66.706459,29.601368,28.267604,0
SYN/0053,5.509864,3.898268,4.438846,4.268349,2.934876,3.797279,3.955096,0.000000,0,0.000000,0,44.070577,1,30.877132,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,77.349845,1,3.252638,33.224674,27.242871,87.464585,26.521605,83.811398,19.411828,82.335850,18.889075,66.695959,29.463200,28.163571,0
SYN/0054,6.138707,4.123678,4.628632,3.612725,2.903317,4.206328,4.342577,0.000000,0,0.000000,0,28.366658,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,2.988088,33.632736,26.308672,87.477105,26.527706,83.623725,19.043111,81.999831,18.811908,67.388220,28.814155,27.907850,0
SYN/0055,5.765104,3.769894,4.637423,3.997352,3.222648,4.262755,4.183167,0.000000,0,0.000000,0,37.578234,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,29.320636,1,0.000000,0,0.000000,0,77.648017,1,3.124385,33.673598,26.426389,87.665875,26.422388,84.643484,18.629792,81.823804,18.803296,67.363686,28.950788,28.106911,0
SYN/0056,5.021694,3.705898,4.210918,3.982898,3.192083,3.740550,4.092667,99.425384,1,0.000000,0,0.000000,0,39.174974,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,81.471699,1,3.434417,33.703557,26.288767,87.670671,26.761580,84.031458,18.715142,81.641690,18.480658,66.551481,29.618949,29.042674,0
SYN/0057,5.981152,2.915252,4.700299,4.296553,2.920770,3.883988,3.581264,0.000000,0,0.000000,0,37.171433,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,79.650089,1,2.677279,33.333628,26.721391,87.780881,26.460992,84.385732,18.551726,82.009711,18.844197,66.959049,29.530638,28.265870,0
